code,name,lowprice,upprice,order,tar_value,now_price,jiazhilv,date

651,格力电器-树,42,64,1.1,,,,毛利率低
333,美的集团-树,39,63,1.2,,,,高
600887,伊利-树,21.4,30.8,1.3,,,,净利率低-(价格低位)
002352,顺丰控股-树,30,43,1.5,,,,

600036,招商银行(重点),17.7,29,1,,,,毛利率低-市盈率低
000001,平安银行(重点),11.15,13.8,1,,,, 市盈率低-毛利率低-净利率低
600900,长江电力-老沈,17.1,17.3,2.3,,,,市盈率低
776,广发证券,24,27,21,2.4,,,市净率低-毛利率低-(价格低位)

600276,恒瑞医药,56.8,80,15,,,,市盈率低

000538,云南白药,94.9,120,1,,,,毛利率低-(价格低位)


601318,中国平安,1,1,1,,,, 毛利率较低(行业龙头+5年走势好+闭眼股+4 分位)

601988,中国银行-树,1,1.2,1.6,,,,市净率低-ROE低
601166,兴业银行,1,1,1,,,,市净率较低
600016,民生银行,1,1,1,,,,
601328,交通银行,1,1,1,,,,市盈率低-净利率低-ROE低
600000,浦发银行,1,1,1,,,,市净率低-毛利率低-净利率低
601288,农业银行,1,1,1,,,,市净率低


600837,海通证券,1,1,1,,,,市净率低-毛利率低
601211,国泰君安,14,21,1,,,,市净率低
601688,华泰证券,1,1,1,,,,市净率低-(价格低位)
600030,中信证券,14.3,21,28,,,,毛利率较低

603288,海天味业,1,1,1,,,,市盈率低-(非闭眼股-价格略低位)
002714,牧原股份,1,1,1,,,,市盈率低-(价格略低位)
000895,双汇发展,1,1,1,,,,毛利率低




601888,中国国旅,1,1,1,,,,高-(价格低位))



002120,韵达股份,1,1,1,,,, (高)


002607,中公教育,1,1,1,,,,


600085,同仁堂-树,1,1.2,1.7,,,,下跌的观望
2594,比亚迪,61,75,10,,,,
600519,贵州茅台,1,1,1,,,, 市盈率低
000858,五 粮 液,1,1,1,,,,高
000568,泸州老窖,1,1,1,,,,高(价格低位)
002304,洋河股份,1,1,1,,,,高(价格低位)
